Title,Source,Content,Country,Content_Type,Date
Cameroon - Cocoa Project, Web Resource,"This report is a performance audit on
            the Cocoa Project in Cameroon. The audit concurs with the
            principal findings of the PCR and shares its conclusions.
            Project implementation during the first two years was
            reasonably satisfactory, but in time a series of problems
            seriously affected project performance. Incremental
            production was minimal and the rate of return at completion
            has been assessed to be negative. The broad objectives of
            the project were to improve the livelihood of farmers in the
            project area by substantially increasing cocoa production,
            and to demonstrate that the development and rehabilitation
            of the cocoa sector was possible by replicating the project
            or its successful components. The project failed in these
            objectives. It is noted that project cost was
            underestimated, project area increased, and Government
            provided a large amount of money to cover the cost overruns.
            For these reasons, the results are not directly comparable
            with appraisal estimates. In this respect, the monitoring of
            the project was largely ineffective, and many of the
            physical results are of an estimated nature or open to
            argument. The extension service was of limited
            effectiveness. Its weakness in some measure reflected the
            frustrations from Government's confusing and sometimes
            obstructive role in regard to supply of inputs, pricing, and
            cooperative organization. However, later on its impact
            improved significantly. The production results are beset
            with uncertainties and incompleteness. The Borrower's
            performance was weak in many respects. Nonetheless, the
            Government acted soundly and, in the interest of the project
            at formulation, acted expeditiously in establishing SODECAO
            and provided adequate funds through most of the project
            implementation period. The lessons learned from the project
            may be expected to have an important impact on agriculture
            development in Cameroon. The project demonstrated, among
            other things, that further substantial growth would have to
            come from planting new areas, and not primarily from
            intensified production. Secondly, that prospective cocoa
            yields of 800 kg per ha, which had been envisaged, could not
            be achieved under everyday smallholder conditions given
            technical and smallholder economic constraints. Thirdly,
            that cocoa v5-I continue to be seen in terms of yields of
            200-300 kg per ha unless new areas are well chosen in terms
            of soil and climate suitability, and finally that to
            maintain national production at existing levels will require
            a continuing long-term investment in rehabilitation and
            replanting to lower the average age of the national cocoa stand. ",Country :  Cameroon,Content Type : Reports,"June 18, 1984
"
Cameroun - Cacao Projet, Web Resource,"This report is a performance audit on
            the Cocoa Project in Cameroon. The audit concurs with the
            principal findings of the PCR and shares its conclusions.
            Project implementation during the first two years was
            reasonably satisfactory, but in time a series of problems
            seriously affected project performance. Incremental
            production was minimal and the rate of return at completion
            has been assessed to be negative. The broad objectives of
            the project were to improve the livelihood of farmers in the
            project area by substantially increasing cocoa production,
            and to demonstrate that the development and rehabilitation
            of the cocoa sector was possible by replicating the project
            or its successful components. The project failed in these
            objectives. It is noted that project cost was
            underestimated, project area increased, and Government
            provided a large amount of money to cover the cost overruns.
            For these reasons, the results are not directly comparable
            with appraisal estimates. In this respect, the monitoring of
            the project was largely ineffective, and many of the
            physical results are of an estimated nature or open to
            argument. The extension service was of limited
            effectiveness. Its weakness in some measure reflected the
            frustrations from Government's confusing and sometimes
            obstructive role in regard to supply of inputs, pricing, and
            cooperative organization. However, later on its impact
            improved significantly. The production results are beset
            with uncertainties and incompleteness. The Borrower's
            performance was weak in many respects. Nonetheless, the
            Government acted soundly and, in the interest of the project
            at formulation, acted expeditiously in establishing SODECAO
            and provided adequate funds through most of the project
            implementation period. The lessons learned from the project
            may be expected to have an important impact on agriculture
            development in Cameroon. The project demonstrated, among
            other things, that further substantial growth would have to
            come from planting new areas, and not primarily from
            intensified production. Secondly, that prospective cocoa
            yields of 800 kg per ha, which had been envisaged, could not
            be achieved under everyday smallholder conditions given
            technical and smallholder economic constraints. Thirdly,
            that cocoa v5-I continue to be seen in terms of yields of
            200-300 kg per ha unless new areas are well chosen in terms
            of soil and climate suitability, and finally that to
            maintain national production at existing levels will require
            a continuing long-term investment in rehabilitation and
            replanting to lower the average age of the national cocoa stand. ",Country :  Cameroon,Content Type : Reports,"June 18, 1984
"
"Timor-Leste Country Program Evaluation, 2000-2010", PDF file,"The World Bank Group (WBG) strategy in Timor-Leste during 2000-10 was articulated in a series of documents; The Joint Assessment Mission Report (Dec 1999) which formed the basis of the Bank's initial interventions; a Transitional Support Strategy (Nov. 2000), which covered the period until Timor-Leste became eligible to apply for membership of IBRD/IDA (May 2002); a Country Assistance Strategy (June 2005) outlining the strategy for the period FY06-08;  and a Interim Strategy Note (Aug. 2009) defined the strategy of the WBG for the period FY10-11. 
Throughout these strategy documents, the WBG planned to support Timor-Leste in three broad areas: (a) poverty alleviation and the provision of basic social services, including health and education; (b) development of state institutions, including creating good governance and building the capacity of state institutions; and (c) promoting sustainable nonpetroleum growth, especially through the development of agriculture and the private sector.
The relevance of the WBG strategy waned through the evaluation period, despite being broadly congruent with the country's own aspirations. During the first three years, the WBG strategy was relevant, focusing on immediate reconstruction needs, the restoration of key social services and alleviation of basic deprivation. At that time the Bank was the trustee and co-manager of the Trust Fund for East Timor, which brought together resources from different donors and funded investments through grants. As years went by, this immediate focus dissipated. The strategy became more diffuse and all-inclusive, covering a very broad front to the detriment of the most critical areas such as agriculture and capacity-building of state institutions. 
WBG support increasingly took the form of development policy operations and extensive analytical and advisory services. The WBG failed to respond to critical social challenges arising from youth unemployment and rising poverty, as the initial emphasis on delivering early tangible benefits to the population lost momentum. The efficacy of the program varied over time and by sector. The Bank performed relatively well in the early reconstruction period, when conditions were most challenging. 
As a result, access to basic health and education services improved and dire human deprivation was mitigated. Thereafter, measured against the objectives set by the WBG for itself, the results of its interventions with respect to long-term development challenges became much more uneven. Overall, moderately satisfactory outcomes in health and veterans' issues and highly satisfactory outcomes in the petroleum sector were offset by weak outcomes in other areas covered by the WBG program.
Despite the priority accorded throughout the succession of WBG strategy documents to agriculture, private sector development and employment generation, very little was achieved after the initial period of reconstruction and stabilization. Progress in improving governance and building state institutions, another priority area for the WBG, was good in some respects, but in others opportunities for greater impact were missed. Overall, the outcome of the WBG's program was Moderately Unsatisfactory when rated against the goals that it set for itself.",Country :  Timor-Leste,Content Type : Reports,"April 29, 2011
"
Adult Literacy: A Review of Implementation Experience, PDF file,"This working paper review's the Bank's experience with implementing adult literacy programs. It finds that overall, the Bank and the rest of the donor community implemented similar strategies toward adult literacy since the 1990s and obtained similar results. Compared to earlier projects, designs have become more elaborate, focused on organizational effectiveness and financial viability.  Women are targeted and reached effectively.  Literacy efforts have moved from vertical government-only campaigns to strong institutional development, culturally sensitive textbooks, NGO participation, faire faire, and reliance on community and group demand for income generation. Bank and other donor projects are able to reach millions and do so at a cost that appears low, though some areas of savings, such as low teacher pay, may create inefficiencies.", ,Content Type : Reports,"September 15, 2003
"
Cambodia - Disease Control and Health Development Project, Web Resource ,"This is the fifth of a series of PPARs that will be undertaken on the ""first generation"" of completed Bank-financed HIV/AIDS projects, as background for a larger OED evaluation of the development effectiveness of the World Bank's AIDS assistance.. The other projects assessed to date include the Kenya Sexually Transmitted Infections Project, the Zimbabwe Sexually Transmitted Infections Prevention and Care Project, the first India National AIDS Control Project, and the first and second Brazil AIDS and Sexually Transmitted Disease Control Projects.  In light of that purpose, relatively more material has been presented in this ""enhanced"" PPAR than is the OED standard. In addition, the dataset on NGO grants supported by the project will be posted on the OED AIDS evaluation website (www.worldbank.org/ieg/aids).",Country :  Cambodia,Content Type : Reports,"April 21, 2004
"
Morocco - Lakhdar Watershed Management Pilot Project, Web Resource ,"This Project Performance Assessment Report (PPAR) assesses the Lakhdar Watershed Management Pilot Project (LWMPP) implemented in Morocco by the World Bank in fiscal 1999 â 2004. The project aimed to pilot test participatory approaches to improve land use and natural resource management in the High Atlas Mountains. More than 2 million peopleâamong the poorest in Moroccoâlive in the Lakhdar Watershed, using agricultural practices that rely on environmentally destructive techniques. These have resulted in a substantial decline in agricultural production and increased risk of flooding. The project benefited from lessons from a 1995 Watershed Management Project. 
IEG rated the overall outcome as satisfactory. IEG rated the risk to development outcome as significant; there was a lack of a monitoring system to track results or replication, and no follow-on operation was implemented. IEG rated both Bank and borrower performance as satisfactory. IEG saw several lessons from the LWMPP: Communities need to see results early, which requires active community involvement, including local authorities. Such projects generally are slow to build momentum and if abandoned will make subsequent development efforts more difficult. With environmental objectives, it is important to measure at least local impacts. And for pilot projects, monitoring and evaluation is a must.",Country :  Morocco,Content Type : Reports,"June 1, 2009
"
Azerbaijan - Country assistance strategy completion report (CASCR) review for the period FY2007-10 : IEG review, Web Resource,"The FY07-FY10 Azerbaijan Country
            Partnership Strategy (CPS) was a joint strategy of IBRD and
            IFC. This review evaluates the FY 2007 CPS, its FY 2009 CPS
            Progress Report (CPSPR) and their implementation, and
            evaluates the CPS Completion Report. The review covers both
            IBRD and IFC activities. The main objectives of the World
            Bank Group's strategy, which followed the poverty
            reduction support paper (PRSP), were grouped under the
            following four pillars: (i) improve the quality and
            transparency in public governance; (ii) support sustainable
            growth of the non-oil economy; (iii) improve the quality of
            and access to social services; and (iv) improve
            environmental management and further the climate change
            agenda. The strategy viewed this support as forming a
            governance action plan cutting across the various areas
            covered by the pillars. IEG highlights two lessons. First, a
            more focused strategy will have allowed the World Bank Group
            to zero in on a few issues and provide effective support,
            with good quality advice for a fruitful policy dialogue.
            Second, good monitoring frameworks like the one designed by
            the Bank for the Azerbaijan strategy, should be used
            appropriately to take stock of developments and adjust the
            strategy at the time of the CPSPR. ",Country :  Azerbaijan,Content Type : Reports,"October 14, 2010
"
Brazil - National Biodiversity Mainstreaming and Institutional Consolidation Project and Sustainable Cerrado Initiative, Web Resource,"Ratings from the National
            Biodiversity Mainstreaming and Institutional Consolidation
            Project are as follows: Outcome was satisfactory, Overall
            efficacy was satisfactory, Bank performance was moderately
            satisfactory, and Quality of monitoring and evaluation was
            modest. Ratings for the Sustainable Cerrado Initiative are
            as follows: Outcome was moderately unsatisfactory, Overall
            efficacy was modest, Bank performance was moderately
            unsatisfactory, and Quality of monitoring and evaluation was
            modest. Lessons from the project include: (i) A critical
            element for the success of projects that seek to promote the
            mainstreaming of biodiversity across sectors, both public
            and private, is strong ownership and active participation
            across the project’s life by the institutions involved. (ii)
            A firm up-front understanding of the underlying political,
            economic, and territorial contexts of the geographic area in
            which a project is seeking to establish new or expand
            existing protected areas is essential to properly gauge the
            possibilities of achieving such an objective. (iii)
            Experience in Brazil (and elsewhere) has shown that
            government commitment to project objectives and design can
            shift significantly over time due to changes in
            administrations, both at the federal and state government
            levels. (iv) Learning from environment projects that use
            concessional financing, both successful and unsuccessful,
            can have policy implications that extend beyond the original
            project’s intentions. ",Country :  Brazil,Content Type : Reports,"December 18, 2020
"
Pakistan - Rural Electrification Project, Web Resource,"The Operations Evaluations Department
            (OED) concurs with all of the ratings in the Implementation
            Completion Report (ICR). The project outcome is rated
            unsatisfactory, based primarily on the failure to meet
            connection targets. Sustainability is rated as unlikely
            because the government has been slow to recognize the need
            for a reformed tariff structure, compromising maintenance.
            Institutional development impact is rated as negligible
            because, although there has been some increase in the
            efficiency of resource use, it is not clear that this
            improvement is attributable to the project. Bank performance
            is rated unsatisfactory, in view of the project's low
            quality at entry. OED also rates Borrower performance
            unsatisfactory, owing to WAPDA'spoor record on
            implementation and the government's failure to address
            the lack of financial incentive for WAPDA. Project
            experience confirms a number of lessons: First, thorough
            project preparation is essential. This project failed
            because, at appraisal, it was not feasible economically,
            financially, or institutionally. Implementation will
            inevitably be unsatisfactory unless the required preparatory
            studies and reviews are carried out in advance, and unless
            implementation procedures and monitoring and coordination
            requirements are spelt out in appraisal reports, and agreed
            prior to start-up. Second, a project will fail to meet
            targets if the incentives are wrong. Third, tariff analysis
            is fundamental in public utility projects. ",Country :  Pakistan,Content Type : Reports,"June 14, 2001
"
Hungary - Second Transport Project and Roads Project, Web Resource,"The audit rates the outcome of the
            Second Transport Project as satisfactory because the
            objectives were relevant, investments were efficient, and
            efficacy was mixed. The outcome of the Roads Project is
            downgraded to moderately satisfactory: while the economic
            return was above 12 percent, network deterioration has
            continued. The following lessons emerge from the two
            projects: 1) Road maintenance in transitional, Central
            European economies becomes especially critical because of
            high diversion of traffic from rail to road and growth in
            motorization and in heavy truck traffic. 2) Government
            commitment to competitive bidding needs to be strongly
            enforced to prevent civil works contracts financed with
            public funds from being awarded on a negotiated basis, as is
            now occurring with the implementation of the national
            motorway program. 3) A tradition of considering most
            transport services ""natural monopolies"" slows
            their reform. In formulating transport policies, countries
            should take into account recent international experience
            showing that modern forms of sectoral organization allow
            greater competition. 4) Hungary's success with reducing
            road accidents suggests the key to success lies in the
            enforcement of road safety legislation, through a strong
            commitment and coordination between the government agencies
            responsible for the police and for the road system. ",Country :  Hungary,Content Type : Reports,"May 16, 2001
"
Indonesia - Central and West Java Provincial Irrigation Development Project and Second Irrigation Subsector Project, Web Resource,"The audit covers both the Central and
            West Java Provincial Irrigation Development (CWJIP) and the
            Second Irrigation Sub-Sector (ISSP-II) projects. Both
            projects are assessed as marginally satisfactory, with
            uncertain sustainability. While both operations were
            successful in transferring technical knowledge, weak
            conditions for sustainable operation and maintenance
            (O&M) in the CWJIP, and its failure in the ISSP-II,
            contributed to this assessment. The performance of both the
            Bank and the borrower regarding the CWJIP was satisfactory.
            However, both performances were unsatisfactory regarding the
            ISSP-II, since both parties dealt too lightly with project
            design, on issues such as financial governance,
            accountability, and, decentralization, failing to resolve
            during implementation. The lessons learned suggest that
            under situations where the Bank is not fundamentally engaged
            in sector reforms, O&M improvement projects should be
            conducted in the simplest, feasible technical, and
            institutional manner. Likewise, complex operations, aiming
            at efficient O&M, should also consider its service
            suppliers' incentives and financial governance. While
            it is not advisable to split implementation responsibilities
            among ministries, particularly in those countries with a
            centralized bureaucracy, the lack of staff continuity, is
            definitely detrimental to success, for, unresolved sector
            and policy issues remain, underlying decades of political
            and institutional problems. ",Country :  Indonesia,Content Type : Reports,"June 30, 1999
"
Jordan - Human Resources Development Sector Investment Loan and Seventh Education Projects, Web Resource,"This audit report rates the outcome
            of the projects as satisfactory, given the many successful
            achievements in complex areas, even though the full impact
            cannot be assessed until the wider program is completed. The
            institutional development impact is rated as modest, in view
            of uneven, and partial accomplishments in this field, and,
            with no institutional changes in most schools. Contrary to
            the assessment at project completion, the audit rates
            sustainability as uncertain, considering current risks are
            higher, such as pressing concerns on the fiscal and
            budgetary situations, as well as donor assistance, coupled
            with the possibility of priority changes under the new
            government. Regardless of these shortcomings, the ratings
            for the Bank and the Borrower, were satisfactory. The key
            lessons include: 1) Under prevailing weaknesses in financial
            accounting, the instrument to limit disbursements to
            approved subprojects, was probably an asset, since financial
            risks were minimized. 2) The subproject approach proved
            effective, since it allowed experience to grow, develop
            skills at the central government level, and strengthen
            ownership. 3) However, the subproject mechanism had its
            limitations, for, since teamwork had no lasting effect,
            competition may have increased in non-functional ways. 4)
            Emphasis should be placed in sharing administrative and
            financial procedures, particularly, with non-project staff,
            to avoid unnecessary tensions. ",Country :  Jordan,Content Type : Reports,"June 29, 1999
"
Zimbabwe - Power Project, Web Resource,"This report sets forth the results of
            a performance audit of the First Power Project the Bank made
            in Zimbabwe after the political settlement that lsd to the
            emergence of the country in its present form. The US$105
            million Bank loan supporting this project vas made to the
            Electricity Supply Commission (ESC), a Government owned
            utility supplying electricity countrywide except in the main
            cities where, at the time, the municipal administrations
            were in charge of distribution. The present Performance
            Audit Report (PAR) is based on a Project Completion Report
            (PCR) prepared by the Industry and Energy Operations
            Division of the Southern Africa Department and already
            distributed to the Executive Directors.It further uses the
            results of a review of pertinent documents, especially the
            Bank's operational files, and of interviews with Bank
            staff presently and formerly associated with the power
            sector of Zimbabwe. In the fall of 1992, a consultant to OED
            visited Zimbabwe where he interviewed present and former
            officers in Government and the utilities who are or were
            involved in the power sector.The PCR Is perceptive and
            provides a good view of the issues that cropped up during
            preparation, processing and implementation. It is somewhat
            bland where it describes the shortcomings of the Bwange
            thermal plant, which the audit found in a state
            substantially more precarious than suggested in the PCR. ",Country :  Zimbabwe,Content Type : Reports,"June 30, 1993
"
Ireland - Livestock Development Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Ireland,Content Type : Reports,"October 1, 1980
"
Iran - Fisheries Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ", ,Content Type : Reports,"September 30, 1980
"
Iran - Tehran Power Distribution Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ", ,Content Type : Reports,"September 23, 1980
"
Mauritania - Irrigation Engineering Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Mauritania,Content Type : Reports,"September 18, 1980
"
Nicaragua - Agricultural Credit Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Nicaragua,Content Type : Reports,"September 15, 1980
"
Jamaica - Program Loan Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Jamaica,Content Type : Reports,"August 28, 1980
"
Chile - Technical Assistance Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Chile,Content Type : Reports,"August 22, 1980
"
Peru - Road Reconstruction Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Peru,Content Type : Reports,"July 25, 1980
"
India - Uttar Pradesh Agricultural Credit Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  India,Content Type : Reports,"July 24, 1980
"
Iran - Dez Irrigation Project - Stage One, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ", ,Content Type : Reports,"June 30, 1980
"
Philippines - Upper Pampanga River Irrigation Project, Web Resource,"This is a performance audit of the
            Livestock Development Project in Ireland. The performance of
            Agricultural Credit Corporation Ltd (ACC) as borrower and
            Bank performance was highly satisfactory. This project was
            part of Government's program to improve agricultural
            efficiency in order to exploit more fully its comparative
            advantage in producing low cost livestock products.
            Following components were used: expanding beef breeding and
            rearing on existing beef; combined beef rearing and
            fattening of purchased surplus calves from specialist milk
            producer; and also expanded pig breeding and rearing. The
            lessons of the project were also so well learned locally
            that parallel development endeavors are being carried
            forward by ACC, the private banks, and Farm Advisory Service
            of DAF(FAS ) even though the Project Unit ( PU) no longer
            exists. While it can be argued that the experiences of the
            project have limited replicability in other environments,
            particularly those which are markedly less developed than
            Ireland, the project does provide a refreshing insight into
            just how much can go right in a development project with
            strong government motivation, with an effective
            organization, and management package, and when all concerned
            in the project are committed to its success. ",Country :  Philippines,Content Type : Reports,"June 30, 1980
"
How can development partners meet the huge demand for evaluation capacity?, Web Resource,"The CLEAR Initiative is a multi-donor program that takes a unique, and scalable, approach to meeting the growing demand for evaluation capacity development in developing countries.", ,Content Type : Blog,"May 23, 2017
"
